date,btc_price,fed_funds_rate,cpi,m2,btc_pct_change,cpi_yoy,m2_yoy
2023-03-01,28478.484375,4.65,301.821,20917.4,23.031275933019145,4.917719362889961,-3.8271616290724397
2023-04-01,29268.806640625,4.83,302.845,20770.4,2.7751556410733347,4.950079879124369,-4.636758905983839
2023-05-01,27219.658203125,5.06,303.334,20840.8,-7.0011342199917,4.131851231385042,-4.0620166457980496
2023-06-01,30477.251953125,5.08,304.014,20823.8,11.967798146804087,3.070617072997095,-3.9350826690286445
2023-07-01,29230.111328125,5.12,304.609,20815.5,-4.092037651288716,3.287749268428297,-3.9720434572001917
2023-08-01,25931.47265625,5.33,306.082,20792.5,-11.285070504336648,3.722504803505289,-3.9341156902605756
2023-09-01,26967.916015625,5.33,307.276,20771.8,3.9968549920561314,3.687206638119256,-3.658525272951585
2023-10-01,34667.78125,5.33,307.696,20737.1,28.55194754356902,3.2512659098611785,-3.3947022705885677
2023-11-01,37712.74609375,5.33,308.148,20743.4,8.783270039094294,3.1333462745911866,-3.107162542155939
2023-12-01,42265.1875,5.33,308.741,20745.1,12.071360157473276,3.3159099427102934,-2.451284655606978
2024-01-01,42582.60546875,5.33,309.698,20815.3,0.7510151676246579,3.0883429864855705,-2.042881210763603
2024-02-01,61198.3828125,5.33,310.967,20903.0,43.716858418659974,3.157074141648697,-1.5258940306874802
2024-03-01,71333.6484375,5.33,312.345,20943.8,16.561329171152273,3.4868349120836584,0.12621071452474375
2024-04-01,60636.85546875,5.33,313.023,20969.9,-14.995437921729394,3.3607951262196734,0.9605014828794722
2024-05-01,67491.4140625,5.33,313.175,21032.0,11.304277803921714,3.244278584003113,0.917431192660545
2024-06-01,62678.29296875,5.33,313.044,21094.6,-7.131456883230869,2.9702579486470926,1.3004350790921881
2024-07-01,64619.25,5.33,313.569,21122.6,3.0966973402063003,2.9414757935583014,1.475342893516851
2024-08-01,58969.8984375,5.33,314.062,21204.7,-8.742521094720225,2.607144490692037,1.9824455933630025
2024-09-01,63329.5,5.13,314.732,21289.0,7.392927032290175,2.4264830315416708,2.489914210612465
2024-10-01,70215.1875,4.83,315.631,21337.0,10.872796248193971,2.578844053871343,2.892882804249397
2024-11-01,96449.0546875,4.64,316.528,21440.0,37.36209803256596,2.719472461284833,3.3581765766460547
2024-12-01,93429.203125,4.48,317.604,21458.4,-3.1310328258628117,2.870690967509981,3.4384023215120907
